BELÉM | CIÊNCIA DA COMPUTAÇÃO
ALTAMIRA | AGRONOMIA
BELÉM | ADMINISTRACAO
ABAETETUBA | MATEMATICA
BELÉM | SISTEMAS DE INFORMAÇÃO
ABAETETUBA | ENGENHARIA DE PRODUCAO
ALTAMIRA | CIENCIAS BIOLOGICAS
BELÉM | BIBLIOTECONOMIA
ABAETETUBA (OFERTA EM TOMÉ-AÇU) | MATEMATICA
ABAETETUBA | LETRAS - ESPANHOL
ABAETETUBA | FISICA
BELÉM | ARQUITETURA E URBANISMO
BELÉM | ARTES VISUAIS
BELÉM | ENGENHARIA DA COMPUTAÇÃO
BELÉM | ARQUIVOLOGIA
ALTAMIRA | ENGENHARIA FLORESTAL
BELÉM (OFERTA EM SOURE) | ADMINISTRACAO
CASTANHAL | SISTEMAS DE INFORMAÇÃO
ABAETETUBA | LETRAS - PORTUGUES
